modulus	c_theta
3	0.0004015
4	0.0004822
5	0.0003716
6	0.0004015
7	0.0004657
8	0.000584
9	0.0005122
10	0.0003716
11	0.0004553
12	0.0006829
13	0.000453
14	0.0004661
15	0.0005428
16	0.000584
17	0.0004501
18	0.0005127
19	0.0004494
20	0.0006356
21	0.0005275
22	0.0004556
23	0.0004472
24	0.0006831
25	0.0004727
26	0.0004532
27	0.0005078
28	0.000616
29	0.0004457
30	0.0005428
31	0.0004455
32	0.0005807
33	0.0005139
34	0.0004503
35	0.0004932
36	0.000698
37	0.0004445
38	0.0004495
39	0.0005103
40	0.0006359
41	0.0004439
42	0.000528
43	0.0004437
44	0.0005988
45	0.0005488
46	0.0004473
47	0.0004433
48	0.0006833
49	0.0004597
50	0.0004729
51	0.0005061
52	0.0005939
53	0.0004426
54	0.000508
55	0.0004819
56	0.0006166
57	0.0005048
58	0.0004458
59	0.0004421
60	0.0007547
61	0.0004419
62	0.0004456
63	0.0005329
64	0.0005769
65	0.0004789
66	0.0005143
67	0.0004415
68	0.0005884
69	0.0005023
70	0.0004935
71	0.0004412
72	0.0006986
73	0.000441
74	0.0004446
75	0.000538
76	0.0005866
77	0.0004695
78	0.0005106
79	0.0004406
80	0.0006326
81	0.0005045
82	0.0004439
83	0.0004403
84	0.0007301
85	0.0004752
86	0.0004438
87	0.0005002
88	0.0005982
89	0.00044
90	0.0005491
91	0.0004666
92	0.0005835
93	0.0004995
94	0.0004433
95	0.0004737
96	0.0006798
97	0.0004395
98	0.0004598
99	0.0005196
100	0.0006311
101	0.000846
102	0.0005063
103	0.0008457
104	0.000973
105	0.0009262
106	0.0004426
107	0.0008452
108	0.0010535
109	0.0008452
110	0.0004821
111	0.0008808
112	0.0009849
113	0.0008443
114	0.000505
115	0.0008554
116	0.0009587
117	0.0008923
118	0.0004422
119	0.0008473
120	0.0011075
121	0.0008436
122	0.000442
123	0.0008797
124	0.0009577
125	0.0008567
126	0.0005331
127	0.0008428
128	0.0009576
129	0.0008791
130	0.0004791
131	0.0008422
132	0.0010605
133	0.000846
134	0.0004415
135	0.0009113
136	0.0009646
137	0.0008417
138	0.0005025
139	0.0008416
140	0.0010251
141	0.0008777
142	0.0004412
143	0.0008409
144	0.0010574
145	0.0008524
146	0.000441
147	0.0008906
148	0.0009548
149	0.0008406
150	0.0005382
151	0.0008403
152	0.0009623
153	0.0008867
154	0.0004697
