#q	x2	m	H	c_psi	c_theta	c_pi
3	4e+13	8	492130.2894	0.0003964	0.0004015	0.0004187
4	4e+13	7	337539.4585	0.000477	0.0004822	0.0005028
5	4e+13	8	276296.7448	0.0003665	0.0003716	0.0003876
6	4e+13	8	492130.2894	0.0003964	0.0004015	0.0004187
7	1e+13	8	183070.9544	0.0004584	0.0004657	0.0004857
8	1e+13	7	160120.1141	0.0005742	0.000584	0.0006091
9	1e+13	7	132023.1283	0.0005048	0.0005122	0.0005342
10	4e+13	8	276296.7448	0.0003665	0.0003716	0.0003876
11	1e+13	8	114634.3224	0.0004508	0.0004553	0.0004748
12	1e+13	7	122989.5676	0.000673	0.0006829	0.0007121
13	1e+13	8	96609.22412	0.0004491	0.000453	0.0004724
14	1e+13	8	183070.9544	0.0004584	0.0004661	0.0004861
15	1e+13	7	87759.55712	0.000533	0.0005428	0.0005661
16	1e+13	7	80068.85259	0.0005742	0.000584	0.000609
17	1e+13	8	73508.14523	0.0004472	0.0004501	0.0004694
18	1e+13	7	132023.1283	0.0005048	0.0005127	0.0005346
19	1e+13	8	65660.94122	0.0004467	0.0004494	0.0004686
20	1e+13	7	68488.13855	0.0006257	0.0006356	0.0006628
21	1e+13	7	61286.24614	0.0005195	0.0005275	0.0005501
22	1e+13	8	114634.3224	0.0004508	0.0004556	0.0004751
23	1e+13	8	54110.80421	0.000445	0.0004472	0.0004664
24	1e+13	7	61475.85105	0.0006733	0.0006831	0.0007124
25	1e+13	8	51968.27122	0.0004703	0.0004727	0.000493
26	1e+13	8	96609.22412	0.0004491	0.0004532	0.0004726
27	1e+13	7	44018.50551	0.0005051	0.0005078	0.0005296
28	1e+13	7	47839.85524	0.0006078	0.000616	0.0006424
29	1e+13	8	42816.50172	0.000444	0.0004457	0.0004648
30	1e+13	7	87759.55712	0.000533	0.0005428	0.0005661
31	1e+13	8	40031.774	0.0004439	0.0004455	0.0004646
32	1e+13	7	40043.36555	0.0005745	0.0005807	0.0006056
33	1e+13	7	38318.11155	0.000509	0.0005139	0.000536
34	1e+13	8	73508.14523	0.0004472	0.0004503	0.0004696
35	1e+13	7	34104.48567	0.000489	0.0004932	0.0005144
36	1e+13	7	39580.60148	0.0006897	0.000698	0.000728
37	1e+13	8	33496.91507	0.0004431	0.0004445	0.0004635
38	1e+13	8	65660.94122	0.0004467	0.0004495	0.0004688
