Chunk,Range_Start,Range_End,Exception_Count,Exceptions
1,100001,1000000,0,
2,1000001,2000000,0,
3,2000001,3000000,0,
4,3000001,4000000,0,
5,4000001,5000000,0,
6,5000001,6000000,0,
7,6000001,7000000,0,
8,7000001,8000000,0,
9,8000001,9000000,0,
10,9000001,10000000,0,
11,10000001,11000000,0,
12,11000001,12000000,0,
13,12000001,13000000,0,
14,13000001,14000000,0,
15,14000001,15000000,0,
16,15000001,16000000,0,
17,16000001,17000000,0,
18,17000001,18000000,0,
19,18000001,19000000,0,
20,19000001,20000000,0,
21,20000001,21000000,0,
22,21000001,22000000,0,
23,22000001,23000000,0,
24,23000001,24000000,0,
25,24000001,25000000,0,
26,25000001,26000000,0,
27,26000001,27000000,0,
28,27000001,28000000,0,
29,28000001,29000000,0,
30,29000001,30000000,0,
31,30000001,31000000,0,
32,31000001,32000000,0,
33,32000001,33000000,0,
34,33000001,34000000,0,
35,34000001,35000000,0,
36,35000001,36000000,0,
37,36000001,37000000,0,
38,37000001,38000000,0,
39,38000001,39000000,0,
40,39000001,40000000,0,
41,40000001,41000000,0,
42,41000001,42000000,0,
43,42000001,43000000,0,
44,43000001,44000000,0,
45,44000001,45000000,0,
46,45000001,46000000,0,
47,46000001,47000000,0,
48,47000001,48000000,0,
49,48000001,49000000,0,
50,49000001,50000000,0,
51,50000001,51000000,0,
52,51000001,52000000,0,
53,52000001,53000000,0,
54,53000001,54000000,0,
55,54000001,55000000,0,
56,55000001,56000000,0,
57,56000001,57000000,0,
58,57000001,58000000,0,
59,58000001,59000000,0,
60,59000001,60000000,0,
61,60000001,61000000,0,
62,61000001,62000000,0,
63,62000001,63000000,0,
64,63000001,64000000,0,
65,64000001,65000000,0,
66,65000001,66000000,0,
67,66000001,67000000,0,
68,67000001,68000000,0,
69,68000001,69000000,0,
70,69000001,70000000,0,
71,70000001,71000000,0,
72,71000001,72000000,0,
73,72000001,73000000,0,
74,73000001,74000000,0,
75,74000001,75000000,0,
76,75000001,76000000,0,
