modulus	x_theta
3	7932309757
4	4800162889
5	3374890111
6	7932309757
7	1765650541
8	2261078657
9	929636413
10	3374890111
11	1118586379
12	1305214597
13	667859383
14	1765639439
15	789215611
16	832622113
17	785958073
18	929636251
19	957027793
20	624732821
21	547290529
22	1118585213
23	694674007
24	1470438433
25	698180976
26	667859383
27	726867901
28	641324581
29	1071015289
30	789215611
31	704231051
32	788440001
33	730456897
34	785957597
35	803599721
36	528796669
37	828863706
38	957027793
39	557925217
40	1147408609
41	848122579
42	547290487
43	554373685
44	634270837
45	344518591
46	694674007
47	654679899
48	514740361
49	595057009
50	698180839
51	485494079
52	357592973
53	455382581
54	726867469
55	446122591
56	517793761
57	468234289
58	1071015289
59	555157303
60	387136369
61	596869409
62	704231051
63	387691621
64	401651641
65	661933862
66	730454587
67	463025011
68	404970593
69	403703803
70	803599721
71	1066409639
72	313348764
73	466181280
74	828863561
75	308669507
76	302578037
77	528995867
78	557925061
79	549601374
80	321520807
81	517976671
82	848122579
83	644805157
84	370496569
85	436461329
86	554373569
87	362423540
88	418963081
89	643275025
90	344518501
91	346977481
92	327528937
93	491488364
94	654679899
95	469331789
96	269408764
97	416211589
98	595057009
99	353319713
100	349112339
101	120698911
102	485493924
103	92148599
104	123660671
105	56006389
106	455382581
107	123190867
108	86415587
109	97058543
110	446122591
111	91016701
112	81751961
113	90503323
114	468234120
115	105647107
116	183055969
117	142526054
118	555157303
119	88484061
120	110480809
121	107036357
122	596869409
123	85731487
124	109563451
125	142126601
126	387690613
127	144315778
128	104519911
129	79562311
130	661933549
131	95175622
132	80798941
133	98156753
134	463025011
135	87622567
136	201008417
137	120899593
138	403703389
139	77255909
140	101567393
141	105384526
142	1066409639
143	85881413
144	95560010
145	70390259
146	466181280
147	107423803
148	88755718
149	106050771
150	308669507
151	106020493
152	92605823
153	75508617
154	528965837
155	103368137
156	89824309
157	82689289
158	549601161
159	121927373
160	75030409
161	76096211
162	517976671
163	79004243
164	101454229
165	79479529
166	644805157
167	65952079
168	91943713
169	72009859
170	436104499
171	141752561
172	77658586
173	99053878
174	362423437
175	119161223
176	71856826
177	84776707
178	643275025
179	89953883
180	76567597
181	87538950
182	346977299
183	79782411
184	78282583
185	73856647
186	491404135
187	72613201
188	96018323
189	66894571
190	469331029
191	71318617
192	122991487
193	73876939
194	416211589
195	93568879
196	81732286
197	53982102
198	353319713
199	62600779
200	74688938
201	81862133
202	120690023
203	62629571
204	87806083
205	59765579
206	92148599
207	83563567
208	62842041
209	77480527
210	56006389
211	96694421
212	87332261
213	88188781
214	123190867
215	60634818
216	72306431
217	93000671
218	96860804
219	82353223
220	72269629
221	66090281
222	91016701
223	64749757
224	48213516
225	95421427
226	90503323
227	71462939
228	67367502
229	63618193
230	105647107
231	73562233
232	75715649
233	101019959
234	140605018
235	71519717
236	109384553
237	85071049
238	88483922
239	51853201
240	83043529
241	56992333
242	107036230
243	100467168
244	61783481
245	64130083
246	85731487
247	62758633
248	84952433
249	80653217
250	141647101
251	72555741
252	47997493
253	88627751
254	144315586
255	59584453
256	64488331
257	86072124
258	79562165
259	88233917
260	118869169
261	57003041
262	95175555
263	62419081
264	69504361
265	64534423
266	98156753
267	77081421
268	58749913
269	68336329
270	87606907
271	59568241
272	72422633
273	61523909
274	120899593
275	83058973
276	76048331
277	68500809
278	77255909
279	50314021
280	41100671
281	74143568
282	105384317
283	45640396
284	72951167
285	68312821
286	85881413
287	54965267
288	58368740
289	42263257
290	70389679
291	53127281
292	88888621
293	65383129
294	107423803
295	53098187
296	79372729
297	65035811
298	106050687
299	60900666
300	67168637
301	55773806
302	106020493
303	75176357
304	87810540
305	59429597
306	75508458
307	60952721
308	49308299
309	71449453
310	103368137
311	58584259
312	62135057
313	68553703
314	82689289
315	61043014
316	58419173
317	52249091
318	121927170
319	55532131
320	63800111
321	78763183
322	76096211
323	64458643
324	45138059
325	52331131
326	79004243
327	50315611
328	121430249
329	61193103
330	79479529
331	46393993
332	89357413
333	75405742
334	65952079
335	80916323
336	75239565
337	71943721
338	72008507
