modulus	eps_1e10	eps_1e13	eps_1e30	eps_1e100
1	0.000213	0.000015	0.000001	0.000001
2	0.000213	0.000015	0.000001	0.000001
3	0.002238	0.001951	0.001813	0.001310
4	0.002238	0.001943	0.001809	0.001324
5	0.002785	0.002250	0.002105	0.001606
6	0.002238	0.001951	0.001813	0.001310
7	0.003248	0.002406	0.002258	0.001770
8	0.002811	0.002257	0.002116	0.001634
9	0.003228	0.002380	0.002235	0.001759
10	0.002785	0.002250	0.002105	0.001606
11	0.004125	0.002590	0.002421	0.001954
12	0.002781	0.002241	0.002099	0.001610
13	0.004560	0.002657	0.002478	0.002020
14	0.003248	0.002406	0.002258	0.001770
15	0.008634	0.007628	0.007088	0.005045
16	0.008994	0.007938	0.007392	0.005393
17	0.010746	0.008587	0.008047	0.006203
18	0.003228	0.002380	0.002235	0.001759
19	0.011892	0.009442	0.008852	0.006838
20	0.008501	0.007465	0.006950	0.005024
21	0.009708	0.008143	0.007582	0.005625
22	0.004125	0.002590	0.002421	0.001954
23	0.012682	0.009592	0.009012	0.007046
24	0.008173	0.007107	0.006615	0.004775
25	0.012214	0.009447	0.008851	0.006861
26	0.004560	0.002657	0.002478	0.002020
27	0.011579	0.009061	0.008492	0.006572
28	0.009908	0.008298	0.007741	0.005800
29	0.014102	0.010007	0.009398	0.007440
30	0.008634	0.007628	0.007088	0.005045
31	0.014535	0.010088	0.009468	0.007527
32	0.011103	0.008857	0.008300	0.006399
33	0.011685	0.008844	0.008276	0.006357
34	0.010746	0.008587	0.008047	0.006203
35	0.012809	0.009431	0.008821	0.006862
36	0.009544	0.007900	0.007372	0.005563
37	0.015830	0.010323	0.009668	0.007768
38	0.011892	0.009442	0.008852	0.006838
39	0.012621	0.009108	0.008514	0.006625
40	0.010833	0.008627	0.008084	0.006183
41	0.016744	0.010524	0.009843	0.007953
42	0.009708	0.008143	0.007582	0.005625
43	0.017180	0.010598	0.009904	0.008025
44	0.011798	0.008871	0.008310	0.006440
45	0.012817	0.009413	0.008809	0.006884
46	0.012682	0.009592	0.009012	0.007046
47	0.018044	0.010720	0.010012	0.008148
48	0.011080	0.008876	0.008319	0.006373
49	0.017015	0.010461	0.009773	0.007891
50	0.012214	0.009447	0.008851	0.006861
51	0.014479	0.009803	0.009191	0.007312
52	0.012671	0.009058	0.008475	0.006656
53	0.019206	0.010734	0.010011	0.008188
54	0.011579	0.009061	0.008492	0.006572
55	0.016306	0.010159	0.009493	0.007591
56	0.012961	0.009462	0.008865	0.006969
57	0.015636	0.010300	0.009640	0.007691
58	0.014102	0.010007	0.009398	0.007440
59	0.020659	0.011057	0.010299	0.008451
60	0.010879	0.008740	0.008182	0.006204
61	0.021073	0.011080	0.010315	0.008475
62	0.014535	0.010088	0.009468	0.007527
63	0.015473	0.010048	0.009409	0.007510
64	0.014938	0.010019	0.009400	0.007530
65	0.018025	0.010412	0.009697	0.007837
66	0.011685	0.008844	0.008276	0.006357
67	0.022414	0.011252	0.010451	0.008620
68	0.014691	0.009884	0.009272	0.007412
69	0.017285	0.010536	0.009835	0.007944
70	0.012809	0.009431	0.008821	0.006862
71	0.023269	0.011310	0.010484	0.008672
72	0.012665	0.009118	0.008546	0.006759
74	0.015830	0.010323	0.009668	0.007768
75	0.016346	0.010341	0.009659	0.007724
76	0.015819	0.010331	0.009671	0.007751
77	0.020600	0.010854	0.010076	0.008235
78	0.012621	0.009108	0.008514	0.006625
80	0.014527	0.009700	0.009085	0.007218
81	0.019611	0.010834	0.010094	0.008264
82	0.016744	0.010524	0.009843	0.007953
84	0.012721	0.009304	0.008703	0.006792
85	0.021395	0.010990	0.010205	0.008353
86	0.017180	0.010598	0.009904	0.008025
87	0.019865	0.010903	0.010152	0.008278
88	0.016484	0.010131	0.009474	0.007646
90	0.012817	0.009413	0.008809	0.006884
91	0.023159	0.011148	0.010314	0.008484
92	0.017508	0.010574	0.009872	0.008009
93	0.020727	0.011013	0.010245	0.008375
94	0.018044	0.010720	0.010012	0.008148
95	0.023180	0.011282	0.010444	0.008570
96	0.014710	0.009886	0.009271	0.007395
98	0.017015	0.010461	0.009773	0.007891
99	0.020644	0.010823	0.010051	0.008238
100	0.016476	0.010310	0.009631	0.007737
102	0.014479	0.009803	0.009191	0.007312
104	0.018292	0.010424	0.009715	0.007922
105	0.017707	0.010434	0.009708	0.007787
106	0.019206	0.010734	0.010011	0.008188
108	0.015635	0.010079	0.009441	0.007589
110	0.016306	0.010159	0.009493	0.007591
111	0.023287	0.011261	0.010425	0.008589
112	0.018184	0.010498	0.009777	0.007942
114	0.015636	0.010300	0.009640	0.007691
116	0.020143	0.010962	0.010209	0.008353
117	0.023222	0.011135	0.010306	0.008499
118	0.020659	0.011057	0.010299	0.008451
120	0.014495	0.009785	0.009169	0.007257
121	0.031939	0.012053	0.010963	0.009223
122	0.021073	0.011080	0.010315	0.008475
124	0.021008	0.011055	0.010285	0.008436
125	0.029581	0.011885	0.010860	0.009072
126	0.015473	0.010048	0.009409	0.007510
128	0.022035	0.011123	0.010336	0.008526
130	0.018025	0.010412	0.009697	0.007837
132	0.016320	0.010123	0.009461	0.007593
134	0.022414	0.011252	0.010451	0.008620
138	0.017285	0.010536	0.009835	0.007944
140	0.017989	0.010523	0.009796	0.007898
142	0.023269	0.011310	0.010484	0.008672
143	0.033703	0.012101	0.010952	0.009218
144	0.018241	0.010486	0.009772	0.007976
150	0.016346	0.010341	0.009659	0.007724
154	0.020600	0.010854	0.010076	0.008235
156	0.018025	0.010363	0.009653	0.007827
162	0.019611	0.010834	0.010094	0.008264
163	0.044431	0.012935	0.011505	0.009799
168	0.017995	0.010459	0.009740	0.007882
169	0.042497	0.012769	0.011383	0.009670
170	0.021395	0.010990	0.010205	0.008353
174	0.019865	0.010903	0.010152	0.008278
180	0.018004	0.010482	0.009763	0.007903
182	0.023159	0.011148	0.010314	0.008484
186	0.020727	0.011013	0.010245	0.008375
190	0.023180	0.011282	0.010444	0.008570
198	0.020644	0.010823	0.010051	0.008238
210	0.017707	0.010434	0.009708	0.007787
216	0.023480	0.011154	0.010324	0.008542
222	0.023287	0.011261	0.010425	0.008589
234	0.023222	0.011135	0.010306	0.008499
242	0.031939	0.012053	0.010963	0.009223
243	0.043836	0.012879	0.011458	0.009740
250	0.029581	0.011885	0.010860	0.009072
256	0.036558	0.012394	0.011179	0.009461
286	0.033703	0.012101	0.010952	0.009218
326	0.044431	0.012935	0.011505	0.009799
338	0.042497	0.012769	0.011383	0.009670
360	0.028267	0.011631	0.010644	0.008854
420	0.027757	0.011602	0.010617	0.008766
432	0.039660	0.012542	0.011234	0.009519
486	0.043836	0.012879	0.011458	0.009740
