modulus	theta	theta_sharp	psi
1	2.052818	1.052818	1.414214
2	2.071193	1.071193	1.744754
3	1.798158	1.053542	1.070833
4	1.780719	1.034832	1.118034
5	1.412480	0.912480	0.886346
6	1.798158	1.173049	1.322876
7	1.105822	0.829249	0.779283
8	1.817557	1.000000	0.926535
9	1.108042	0.899812	0.788900
10	1.412480	0.912480	0.961267
11	0.976421	0.885771	0.878823
12	1.735502	1.000000	0.906786
13	0.892444	0.741007	0.737610
14	1.105822	0.829249	0.897528
15	1.097307	0.769689	0.760264
16	1.253606	0.771116	0.773805
17	1.001057	0.876057	0.873548
18	1.108042	0.899812	0.824180
19	1.001556	0.911763	0.911536
20	1.276501	0.776501	0.800391
21	1.130693	0.863011	0.805421
22	0.976421	0.885771	0.879312
23	0.973114	0.882205	0.880877
24	1.703144	1.000000	0.744935
25	0.821890	0.832182	0.764098
26	0.892444	0.744403	0.744403
27	0.881762	0.789677	0.795451
28	1.039662	0.764535	0.775919
29	0.793283	0.744371	0.745590
30	1.097307	0.769689	0.760264
31	0.771883	0.838550	0.845276
32	1.015064	0.866076	0.860459
33	0.797466	0.779343	0.788725
34	1.001057	0.876057	0.874371
35	0.865028	0.782493	0.779932
36	1.163674	0.830341	0.829482
37	0.867916	0.816491	0.815422
38	1.001556	0.911763	0.911624
39	0.769446	0.666830	0.668572
40	1.076203	0.813546	0.816561
41	0.818620	0.818620	0.817634
42	1.130693	0.863011	0.813182
43	0.832936	0.785317	0.784932
44	0.873277	0.873277	0.871473
45	0.844820	0.844820	0.844863
46	0.973114	0.882205	0.881655
47	0.744386	0.787865	0.790079
48	1.096688	0.870037	0.876180
49	0.744132	0.696513	0.697158
50	0.821890	0.832182	0.762408
51	0.817323	0.770458	0.771552
52	0.884117	0.837232	0.837318
53	0.829958	0.791497	0.725979
54	0.881762	0.789677	0.794864
55	0.795133	0.795133	0.798504
56	0.981635	0.828677	0.833854
57	0.834201	0.834201	0.833807
58	0.793283	0.744371	0.745533
59	0.710444	0.724352	0.710444
60	1.056320	0.749787	0.748270
61	0.719386	0.715829	0.717979
62	0.771883	0.838550	0.845276
63	0.847851	0.736979	0.750188
64	0.842522	0.781042	0.779800
65	0.753091	0.753091	0.753171
66	0.797466	0.779343	0.788725
67	0.708427	0.738730	0.731833
68	0.803940	0.803940	0.805077
69	0.740573	0.732708	0.733806
70	0.865028	0.782493	0.779932
71	0.750488	0.750488	0.750488
72	1.062100	0.754145	0.765297
74	0.867916	0.816491	0.815422
75	0.729046	0.684061	0.685155
76	0.771532	0.768761	0.702507
77	0.690677	0.690677	0.690677
78	0.769446	0.666830	0.668572
80	0.806030	0.774123	0.773105
81	0.757028	0.757028	0.757028
82	0.818620	0.818620	0.817634
84	0.811175	0.805972	0.805906
85	0.694146	0.694146	0.694146
86	0.832936	0.785317	0.784932
87	0.688240	0.759668	0.688240
88	0.780273	0.742456	0.741766
90	0.844820	0.844820	0.844864
91	0.688707	0.688707	0.688707
92	0.728679	0.720354	0.719766
93	0.691390	0.758056	0.691390
94	0.744386	0.787865	0.790048
95	0.698739	0.732484	0.698739
96	0.825985	0.744111	0.742971
98	0.744132	0.696513	0.697303
99	0.740587	0.691390	0.691390
100	0.813770	0.813770	0.812489
102	0.817323	0.770458	0.771552
104	0.723333	0.767924	0.765581
105	0.653897	0.653897	0.653897
106	0.829958	0.791497	0.725979
108	0.764890	0.722346	0.661992
110	0.795133	0.795133	0.795133
111	0.698739	0.754294	0.698739
112	0.740472	0.740472	0.742195
114	0.834201	0.834201	0.834201
116	0.764606	0.751262	0.700136
117	0.698739	0.698739	0.698739
118	0.710444	0.724352	0.710444
120	1.032367	0.672746	0.672746
121	0.711433	0.717617	0.711433
122	0.719386	0.715829	0.716087
124	0.691390	0.749162	0.691390
125	0.709028	0.709827	0.709028
126	0.847851	0.736979	0.750188
128	0.754709	0.817209	0.817799
130	0.753091	0.753091	0.753171
132	0.834519	0.762402	0.763278
134	0.708427	0.738730	0.731833
138	0.740573	0.732708	0.733806
140	0.737551	0.764606	0.769112
142	0.750488	0.750488	0.750488
143	0.713437	0.713437	0.713437
144	0.753220	0.680366	0.680366
150	0.729046	0.684061	0.685155
154	0.690677	0.690677	0.690677
156	0.789471	0.789471	0.790208
162	0.757028	0.757028	0.757028
163	0.719154	0.719154	0.719154
168	0.699889	0.674579	0.674416
169	0.718525	0.718525	0.718525
170	0.694146	0.694146	0.694146
174	0.688240	0.759668	0.688240
180	0.723937	0.723937	0.723937
182	0.688707	0.688707	0.688707
186	0.691390	0.758056	0.691390
190	0.698739	0.732484	0.698739
198	0.740587	0.691390	0.691390
210	0.653897	0.653897	0.653897
216	0.698739	0.698739	0.698739
222	0.698739	0.754294	0.698739
234	0.698739	0.698739	0.698739
242	0.711433	0.717617	0.711433
243	0.719154	0.731499	0.719154
250	0.709028	0.709827	0.709028
256	0.714815	0.714815	0.714815
286	0.713437	0.713437	0.713437
326	0.719154	0.719154	0.719154
338	0.718525	0.718525	0.718525
360	0.707926	0.707926	0.707926
420	0.688445	0.688445	0.688445
432	0.717112	0.717112	0.717112
486	0.719154	0.731499	0.719154
